Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
J4,Revenge for the death of male relatives.,Papago,32,-113,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fb48026322a13bee56f59147,https://www.ruthenia.ru/folklore/berezkin/j4.html,
J5,Brothers as victims.,Teton (incl Oglala),44,-102,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=b22dda0a4a5267d2fb08b9cd,https://www.ruthenia.ru/folklore/berezkin/j5.html,
J5,Brothers as victims.,Svans,42.8,42.8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=0c7009d4f4e234d99b5cd05b,https://www.ruthenia.ru/folklore/berezkin/j5.html,
J5,Brothers as victims.,Papago,32,-113,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8a374fb8fa742e1cdae7b5f6,https://www.ruthenia.ru/folklore/berezkin/j5.html,
J6,The children of the murdered woman grew up in the house of their antagonists.,"Kuikuro, Kalapalo, Calapalo",-13.5,-54.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d4e89b41602498b18cbba019,https://www.ruthenia.ru/folklore/berezkin/j6.html,
J7,Substituted signs.,Dargin Residents,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ed56ba38833f09675e6d495f,https://www.ruthenia.ru/folklore/berezkin/j7.html,
J7,Substituted signs.,"Yanomamo (Yanoama): Yanomam, Yanomami",2,-64.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3451e4950d621712ce7f1459,https://www.ruthenia.ru/folklore/berezkin/j7.html,
j7a,Bringing lunch to father.,"Dargin (Dargwa), Incl. Müregin, Khürkilin, Kubachi",42.2,47.6,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=fKaXnosjTES_zJHe_RI7CQ,https://www.ruthenia.ru/folklore/berezkin/j7a.html,
J12,Girls in search of a husband.,Svans,42.8,42.8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=p19qg2as094yugi2sgsk7zle,https://www.ruthenia.ru/folklore/berezkin/j12.html,santi : Riggs 1893:148-149
J12,Girls in search of a husband.,"Kuikuro, Kalapalo, Calapalo",-13.5,-54.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ff59bb7b0a145367484d5542,https://www.ruthenia.ru/folklore/berezkin/j12.html,
