Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
M53A,Crows and seals,Stranger,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=4527a4d9a51ffff79513402d,https://www.ruthenia.ru/folklore/berezkin/m53a.html,
M53D,Imaginary enemies,"Quileute, Chemakum (Hoh)",47.6,-124,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=1f83c78827026015ac256dae,https://www.ruthenia.ru/folklore/berezkin/m53d.html,
M53E,Allegedly inedible whale,Central Yupik,60,-160,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=cf1f294ac1506222a549a8f2,https://www.ruthenia.ru/folklore/berezkin/m53e.html,Wassilie 1978 : 99-101
M53E,Allegedly inedible whale,North Alaskan Inupiat,68.77683,-160.64844,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=67e49a59515b5eb9b39e4cdc,https://www.ruthenia.ru/folklore/berezkin/m53e.html,
M54,The runaway wakes up in the same place,Blackfoot,51,-112.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=d277d8b31a4e3614cb93d05b,https://www.ruthenia.ru/folklore/berezkin/m54.html,
M54,The runaway wakes up in the same place,"Western Sahaptin (Upper Cowlitz, Klikitat, Tenino, Umatilla, Yakima, Wallawalla)",46,-120.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=49b9f3b79746eab574eac86b,https://www.ruthenia.ru/folklore/berezkin/m54.html,
M56C,Try on a snake,Natchez (incl Avoyel),31.4,-91.4,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=514a060c4d195a1d65e5a1fc,https://www.ruthenia.ru/folklore/berezkin/m56c.html,
M57A,Beads are like body secretions,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=13649d539abd1c5e52235b1b,https://www.ruthenia.ru/folklore/berezkin/m57a.html,
M57A,Beads are like body secretions,"Estonians, Finns, Western Sami",58.7,25,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=f6062ebfc571bd9fd38245c3,https://www.ruthenia.ru/folklore/berezkin/m57a.html,
M57A,Beads are like body secretions,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=p2ijwlpp8nj9sz0ddmzy0rfg,https://www.ruthenia.ru/folklore/berezkin/m57a.html,Sidelnikov 1971 (3) : 66-75
M57A,Beads are like body secretions,"Five Nations Iroquois (Seneca, Mohawk, Onondaga, Oneida, Cayuga)",42.7,-76,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ie8hkn5y28xnu2fllw44448v,https://www.ruthenia.ru/folklore/berezkin/m57a.html,seneca : Curtin 1922:327-350.
M57A,Beads are like body secretions,"Wallons, Picardie",50.34858,4.01855,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=a151f3ea274f0fea0039bde4,https://www.ruthenia.ru/folklore/berezkin/m57a.html,
M57A,Beads are like body secretions,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=272ed3b5dd5a4b2b0e613c3f,https://www.ruthenia.ru/folklore/berezkin/m57a.html,
M57A,Beads are like body secretions,Svans,42.8,42.8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=qo8szw2jfqdtxrzkywm9s5fa,https://www.ruthenia.ru/folklore/berezkin/m57a.html,santi : Riggs 1893:148-149
M57A,Beads are like body secretions,"Akan, Ashanti, Akwapim; Ga (Accra), Kra, Twi (Chwi, Chi)",6.5,-1.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=3bd3b620bfe0d30e9c24ea7a,https://www.ruthenia.ru/folklore/berezkin/m57a.html,
