Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
480,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=wzch64zfulcxv99v69nqbezq,N/A,http://www.gutenberg.org/ebooks/10
480,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=1JRWW3UqkHJvxzx8kU8qUGG0,N/A,
480,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=DVxYnx5IBOvnhT9gLxUXZPVI,N/A,
482,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=8wsi72w4iedvhywsgk2279p8,N/A,http://www.gutenberg.org/ebooks/10
487,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=hpoy63ecy19qkh56trd02uae,N/A,http://www.gutenberg.org/ebooks/10
490,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=icsplbswcq78bmxuqk9zdk7m,N/A,http://www.gutenberg.org/ebooks/10
492,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=r7jmey1qe9nuxsj8c0lqtxup,N/A,http://www.gutenberg.org/ebooks/10
498,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=27yy8dj418e3k90pn7ajw1yn,N/A,http://www.gutenberg.org/ebooks/10
501,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=orORne3l84G6rCfzs85HHkZf,N/A,xmlfiles/eng/trans-3270.xml
502,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=pHWo2VBxxljNWh5dwjmAXuO2,N/A,xmlfiles/eng/trans-1296.xml
503,N/A,Ireland,53,-8,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Ulcz1gYlwyXfzHvxs1tJiJhA,N/A,
503,N/A,Czech Republic &amp; Slovakia,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=2YmK5EUnTHgUM3GCs90j0oXk,N/A,xmlfiles/new/czechoslovak-11.xml
507,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=8ca2cqs0li4tcrew12xu87t5,N/A,http://www.gutenberg.org/ebooks/10
507A,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=rsj8UO7pSmqm5WhyuLnIHyxy,N/A,xmlfiles/eng/trans-3317.xml
509,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=a469s5jqimqblh9wzh926htf,N/A,http://www.gutenberg.org/ebooks/10
510,N/A,"Danes, Danish",56,10,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=iazi8IgIbKNxN9slLrtmKAdU,N/A,xmlfiles/lang/lang_olive-11.xml
510,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=tgglHUFzUu2gO9jbQwcfgpu0,N/A,xmlfiles/eng/trans-1772.xml
